AL, 05, 2021072906, 05, CARQ,  -54,  99N, 250W,  20, 1011, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090118, 05, CARQ,  780, 132N, 1180W, 165, 879, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090200, 05, CARQ,  786, 131N, 1194W, 175, 867, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090206, 05, CARQ,  792, 130N, 1209W, 200, 852, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090212, 05, CARQ,  798, 130N, 1220W, 215, 841, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090218, 05, CARQ,  804, 129N, 1231W, 235, 802, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090300, 05, CARQ,  810, 129N, 1240W, 255, 781, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090306, 05, CARQ,  816, 129N, 1251W, 275, 759, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090312, 05, CARQ,  822, 130N, 1259W, 290, 741, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090318, 05, CARQ,  828, 130N, 1268W, 300, 729, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090400, 05, CARQ,  834, 131N, 1278W, 305, 711, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090406, 05, CARQ,  840, 132N, 1290W, 300, 719, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090412, 05, CARQ,  846, 133N, 1302W, 295, 724, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090418, 05, CARQ,  852, 133N, 1311W, 280, 730, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090500, 05, CARQ,  858, 134N, 1324W, 270, 738, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090506, 05, CARQ,  864, 134N, 1337W, 265, 744, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090512, 05, CARQ,  870, 135N, 1350W, 245, 769, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090518, 05, CARQ,  876, 136N, 1363W, 220, 799, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090600, 05, CARQ,  882, 136N, 1375W, 205, 821, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090606, 05, CARQ,  888, 137N, 1387W, 190, 856, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090612, 05, CARQ,  894, 137N, 1400W, 175, 879, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090618, 05, CARQ,  900, 138N, 1414W, 165, 897, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090700, 05, CARQ,  906, 138N, 1427W, 155, 902, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090706, 05, CARQ,  912, 139N, 1440W, 150, 909, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090712, 05, CARQ,  918, 139N, 1456W, 150, 910, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090718, 05, CARQ,  924, 140N, 1470W, 145, 917, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090800, 05, CARQ,  930, 141N, 1485W, 140, 921, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090806, 05, CARQ,  936, 142N, 1500W, 140, 924, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090812, 05, CARQ,  942, 143N, 1515W, 140, 926, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090818, 05, CARQ,  948, 143N, 1531W, 135, 931, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090900, 05, CARQ,  954, 144N, 1543W, 135, 934, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090906, 05, CARQ,  960, 144N, 1567W, 130, 924, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090912, 05, CARQ,  966, 145N, 1584W, 130, 926, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021090918, 05, CARQ,  972, 147N, 1600W, 125, 931, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021091000, 05, CARQ,  978, 149N, 1618W, 125, 934, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021091006, 05, CARQ,  984, 152N, 1635W, 120, 926, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021091012, 05, CARQ,  990, 154N, 1654W, 115, 931, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021091018, 05, CARQ,  996, 156N, 1671W, 115, 934, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021091100, 05, CARQ, 1002, 159N, 1688W, 110, 934, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  , 
